disease,description,precaution_1,precaution_2,precaution_3,precaution_4,drug
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,clindamycin
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,tretinoin
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,isotretinoin
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,benzoyl peroxide
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,adapalene
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,tetracycline
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,cephalexin
Jerawat,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk,sulfamethoxazole / trimethoprim
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,metformin
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,glipizide
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,glimepiride
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,pioglitazone
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,liraglutide
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,sitagliptin
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,metformin / sitagliptin
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,insulin degludec
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,insulin aspart / insulin degludec
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,insulin glargine
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,insulin lispro
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,insulin aspart
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,insulin regular
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,insulin glulisine
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,metformin
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,insulin isophane
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,insulin regular
Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan untuk energi.",memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti,insulin isophane / insulin regular
Impetigo,"Impetigo (im-puh-tie-go) adalah infeksi kulit yang umum dan sangat menular yang terutama mempengaruhi bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, dan di tangan dan kaki. Luka meledak dan mengembangkan kerak berwarna madu.",Rendam area yang terkena di air hangat,Gunakan antibiotik,Hapus keropeng dengan kain tekan basah,Konsultasikan dengan dokter,mupirocin
Impetigo,"Impetigo (im-puh-tie-go) adalah infeksi kulit yang umum dan sangat menular yang terutama mempengaruhi bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, dan di tangan dan kaki. Luka meledak dan mengembangkan kerak berwarna madu.",Rendam area yang terkena di air hangat,Gunakan antibiotik,Hapus keropeng dengan kain tekan basah,Konsultasikan dengan dokter,cefadroxil
Impetigo,"Impetigo (im-puh-tie-go) adalah infeksi kulit yang umum dan sangat menular yang terutama mempengaruhi bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, dan di tangan dan kaki. Luka meledak dan mengembangkan kerak berwarna madu.",Rendam area yang terkena di air hangat,Gunakan antibiotik,Hapus keropeng dengan kain tekan basah,Konsultasikan dengan dokter,cefuroxime
Impetigo,"Impetigo (im-puh-tie-go) adalah infeksi kulit yang umum dan sangat menular yang terutama mempengaruhi bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, dan di tangan dan kaki. Luka meledak dan mengembangkan kerak berwarna madu.",Rendam area yang terkena di air hangat,Gunakan antibiotik,Hapus keropeng dengan kain tekan basah,Konsultasikan dengan dokter,retapamulin
Impetigo,"Impetigo (im-puh-tie-go) adalah infeksi kulit yang umum dan sangat menular yang terutama mempengaruhi bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, dan di tangan dan kaki. Luka meledak dan mengembangkan kerak berwarna madu.",Rendam area yang terkena di air hangat,Gunakan antibiotik,Hapus keropeng dengan kain tekan basah,Konsultasikan dengan dokter,sulconazole
Impetigo,"Impetigo (im-puh-tie-go) adalah infeksi kulit yang umum dan sangat menular yang terutama mempengaruhi bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, dan di tangan dan kaki. Luka meledak dan mengembangkan kerak berwarna madu.",Rendam area yang terkena di air hangat,Gunakan antibiotik,Hapus keropeng dengan kain tekan basah,Konsultasikan dengan dokter,ozenoxacin
Impetigo,"Impetigo (im-puh-tie-go) adalah infeksi kulit yang umum dan sangat menular yang terutama mempengaruhi bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, dan di tangan dan kaki. Luka meledak dan mengembangkan kerak berwarna madu.",Rendam area yang terkena di air hangat,Gunakan antibiotik,Hapus keropeng dengan kain tekan basah,Konsultasikan dengan dokter,ammoniated mercury
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,lisinopril
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,amlodipine
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,losartan
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,hydrochlorothiazide
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,metoprolol
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,atenolol
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,carvedilol
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,furosemide
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,hydrochlorothiazide / lisinopril
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,clonidine
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,enalapril
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menyebabkan gejala.",meditasi,mandi garam,mengurangi stres,tidur nyenyak,valsartan
Tukak lambung,"Peptic Ulcer Disease (PUD) adalah istirahat di lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang -kadang kerongkongan yang lebih rendah. Ulkus di perut disebut ulkus lambung, sedangkan satu di bagian pertama usus adalah ulkus duodenum.",Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol,pantoprazole
Tukak lambung,"Peptic Ulcer Disease (PUD) adalah istirahat di lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang -kadang kerongkongan yang lebih rendah. Ulkus di perut disebut ulkus lambung, sedangkan satu di bagian pertama usus adalah ulkus duodenum.",Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol,famotidine
Tukak lambung,"Peptic Ulcer Disease (PUD) adalah istirahat di lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang -kadang kerongkongan yang lebih rendah. Ulkus di perut disebut ulkus lambung, sedangkan satu di bagian pertama usus adalah ulkus duodenum.",Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol,glycopyrrolate
Tukak lambung,"Peptic Ulcer Disease (PUD) adalah istirahat di lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang -kadang kerongkongan yang lebih rendah. Ulkus di perut disebut ulkus lambung, sedangkan satu di bagian pertama usus adalah ulkus duodenum.",Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol,chlordiazepoxide / clidinium
Tukak lambung,"Peptic Ulcer Disease (PUD) adalah istirahat di lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang -kadang kerongkongan yang lebih rendah. Ulkus di perut disebut ulkus lambung, sedangkan satu di bagian pertama usus adalah ulkus duodenum.",Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol,aluminum hydroxide
Tukak lambung,"Peptic Ulcer Disease (PUD) adalah istirahat di lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang -kadang kerongkongan yang lebih rendah. Ulkus di perut disebut ulkus lambung, sedangkan satu di bagian pertama usus adalah ulkus duodenum.",Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol,methscopolamine
Tukak lambung,"Peptic Ulcer Disease (PUD) adalah istirahat di lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang -kadang kerongkongan yang lebih rendah. Ulkus di perut disebut ulkus lambung, sedangkan satu di bagian pertama usus adalah ulkus duodenum.",Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol,propantheline
Tukak lambung,"Peptic Ulcer Disease (PUD) adalah istirahat di lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang -kadang kerongkongan yang lebih rendah. Ulkus di perut disebut ulkus lambung, sedangkan satu di bagian pertama usus adalah ulkus duodenum.",Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol,belladonna
Tukak lambung,"Peptic Ulcer Disease (PUD) adalah istirahat di lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang -kadang kerongkongan yang lebih rendah. Ulkus di perut disebut ulkus lambung, sedangkan satu di bagian pertama usus adalah ulkus duodenum.",Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol,clidinium
Wasir tipe dimorfik,"Wasir, juga wasir yang dieja, adalah struktur pembuluh darah di saluran anal. Dalam ... nama lain, wasir, tumpukan, penyakit wasir.",Hindari makanan pedas berlemak,mengkonsumsi witch hazel,mandi air hangat dengan garam epsom,Konsumsi jus alovera,hydrocortisone
Wasir tipe dimorfik,"Wasir, juga wasir yang dieja, adalah struktur pembuluh darah di saluran anal. Dalam ... nama lain, wasir, tumpukan, penyakit wasir.",Hindari makanan pedas berlemak,mengkonsumsi witch hazel,mandi air hangat dengan garam epsom,Konsumsi jus alovera,lidocaine
Wasir tipe dimorfik,"Wasir, juga wasir yang dieja, adalah struktur pembuluh darah di saluran anal. Dalam ... nama lain, wasir, tumpukan, penyakit wasir.",Hindari makanan pedas berlemak,mengkonsumsi witch hazel,mandi air hangat dengan garam epsom,Konsumsi jus alovera,hydrocortisone / pramoxine
Wasir tipe dimorfik,"Wasir, juga wasir yang dieja, adalah struktur pembuluh darah di saluran anal. Dalam ... nama lain, wasir, tumpukan, penyakit wasir.",Hindari makanan pedas berlemak,mengkonsumsi witch hazel,mandi air hangat dengan garam epsom,Konsumsi jus alovera,phenylephrine
Wasir tipe dimorfik,"Wasir, juga wasir yang dieja, adalah struktur pembuluh darah di saluran anal. Dalam ... nama lain, wasir, tumpukan, penyakit wasir.",Hindari makanan pedas berlemak,mengkonsumsi witch hazel,mandi air hangat dengan garam epsom,Konsumsi jus alovera,dibucaine
Wasir tipe dimorfik,"Wasir, juga wasir yang dieja, adalah struktur pembuluh darah di saluran anal. Dalam ... nama lain, wasir, tumpukan, penyakit wasir.",Hindari makanan pedas berlemak,mengkonsumsi witch hazel,mandi air hangat dengan garam epsom,Konsumsi jus alovera,hydrocortisone / lidocaine
Wasir tipe dimorfik,"Wasir, juga wasir yang dieja, adalah struktur pembuluh darah di saluran anal. Dalam ... nama lain, wasir, tumpukan, penyakit wasir.",Hindari makanan pedas berlemak,mengkonsumsi witch hazel,mandi air hangat dengan garam epsom,Konsumsi jus alovera,pramoxine
Flu biasa,"Pilek yang umum adalah infeksi virus hidung dan tenggorokan Anda (saluran pernapasan atas). Biasanya tidak berbahaya, meskipun mungkin tidak terasa seperti itu. Banyak jenis virus dapat menyebabkan flu biasa.",Minum minuman kaya vitamin C,Ambil uap,Hindari makanan dingin,tetap demam di cek,diphenhydramine
Flu biasa,"Pilek yang umum adalah infeksi virus hidung dan tenggorokan Anda (saluran pernapasan atas). Biasanya tidak berbahaya, meskipun mungkin tidak terasa seperti itu. Banyak jenis virus dapat menyebabkan flu biasa.",Minum minuman kaya vitamin C,Ambil uap,Hindari makanan dingin,tetap demam di cek,chlorpheniramine
Flu biasa,"Pilek yang umum adalah infeksi virus hidung dan tenggorokan Anda (saluran pernapasan atas). Biasanya tidak berbahaya, meskipun mungkin tidak terasa seperti itu. Banyak jenis virus dapat menyebabkan flu biasa.",Minum minuman kaya vitamin C,Ambil uap,Hindari makanan dingin,tetap demam di cek,acetaminophen / chlorpheniramine / phenylephrine
Flu biasa,"Pilek yang umum adalah infeksi virus hidung dan tenggorokan Anda (saluran pernapasan atas). Biasanya tidak berbahaya, meskipun mungkin tidak terasa seperti itu. Banyak jenis virus dapat menyebabkan flu biasa.",Minum minuman kaya vitamin C,Ambil uap,Hindari makanan dingin,tetap demam di cek,pseudoephedrine / triprolidine
Cacar air,"Cacar air adalah penyakit yang sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Ini dapat menyebabkan ruam yang gatal, seperti blister. Ruam pertama kali muncul di dada, punggung, dan wajah, dan kemudian menyebar ke seluruh tubuh, menyebabkan antara 250 dan 500 lepuh gatal.",Gunakan Neem dalam mandi,mengkonsumsi daun neem,Ambil vaksin,Hindari tempat umum,acyclovir
Cacar air,"Cacar air adalah penyakit yang sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Ini dapat menyebabkan ruam yang gatal, seperti blister. Ruam pertama kali muncul di dada, punggung, dan wajah, dan kemudian menyebar ke seluruh tubuh, menyebabkan antara 250 dan 500 lepuh gatal.",Gunakan Neem dalam mandi,mengkonsumsi daun neem,Ambil vaksin,Hindari tempat umum,valacyclovir
Cacar air,"Cacar air adalah penyakit yang sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Ini dapat menyebabkan ruam yang gatal, seperti blister. Ruam pertama kali muncul di dada, punggung, dan wajah, dan kemudian menyebar ke seluruh tubuh, menyebabkan antara 250 dan 500 lepuh gatal.",Gunakan Neem dalam mandi,mengkonsumsi daun neem,Ambil vaksin,Hindari tempat umum,varicella zoster immune globulin
Cacar air,"Cacar air adalah penyakit yang sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Ini dapat menyebabkan ruam yang gatal, seperti blister. Ruam pertama kali muncul di dada, punggung, dan wajah, dan kemudian menyebar ke seluruh tubuh, menyebabkan antara 250 dan 500 lepuh gatal.",Gunakan Neem dalam mandi,mengkonsumsi daun neem,Ambil vaksin,Hindari tempat umum,immune globulin intramuscular
Cacar air,"Cacar air adalah penyakit yang sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Ini dapat menyebabkan ruam yang gatal, seperti blister. Ruam pertama kali muncul di dada, punggung, dan wajah, dan kemudian menyebar ke seluruh tubuh, menyebabkan antara 250 dan 500 lepuh gatal.",Gunakan Neem dalam mandi,mengkonsumsi daun neem,Ambil vaksin,Hindari tempat umum,foscarnet
Spondilosis servikal,"Spondylosis serviks adalah istilah umum untuk keausan dan air mata terkait usia yang mempengaruhi disk tulang belakang di leher Anda. Ketika disk dehidrasi dan menyusut, tanda -tanda osteoartritis berkembang, termasuk proyeksi tulang di sepanjang tepi tulang (taji tulang).",Gunakan pad pemanas atau paket dingin,latihan,Ambil Reliver Nyeri OTC,Konsultasikan dengan dokter,ibuprofen
Spondilosis servikal,"Spondylosis serviks adalah istilah umum untuk keausan dan air mata terkait usia yang mempengaruhi disk tulang belakang di leher Anda. Ketika disk dehidrasi dan menyusut, tanda -tanda osteoartritis berkembang, termasuk proyeksi tulang di sepanjang tepi tulang (taji tulang).",Gunakan pad pemanas atau paket dingin,latihan,Ambil Reliver Nyeri OTC,Konsultasikan dengan dokter,naproxen
Spondilosis servikal,"Spondylosis serviks adalah istilah umum untuk keausan dan air mata terkait usia yang mempengaruhi disk tulang belakang di leher Anda. Ketika disk dehidrasi dan menyusut, tanda -tanda osteoartritis berkembang, termasuk proyeksi tulang di sepanjang tepi tulang (taji tulang).",Gunakan pad pemanas atau paket dingin,latihan,Ambil Reliver Nyeri OTC,Konsultasikan dengan dokter,acetaminophen
Hipertiroidisme,"Hipertiroidisme (tiroid yang terlalu aktif) terjadi ketika kelenjar tiroid Anda menghasilkan terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh Anda, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur.",makan sehat,pijat,Gunakan Lemon Balm,Ambil pengobatan yodium radioaktif,methimazole
Hipertiroidisme,"Hipertiroidisme (tiroid yang terlalu aktif) terjadi ketika kelenjar tiroid Anda menghasilkan terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh Anda, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur.",makan sehat,pijat,Gunakan Lemon Balm,Ambil pengobatan yodium radioaktif,propylthiouracil
Hipertiroidisme,"Hipertiroidisme (tiroid yang terlalu aktif) terjadi ketika kelenjar tiroid Anda menghasilkan terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh Anda, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur.",makan sehat,pijat,Gunakan Lemon Balm,Ambil pengobatan yodium radioaktif,potassium iodide
