Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Tuberkulosis,kedinginan,muntah,kelelahan,penurunan berat badan,batuk,demam tinggi,sesak napas,berkeringat,kehilangan nafsu makan,demam ringan,mata menguning,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,nyeri dada,darah di dahak,
Tuberkulosis,muntah,kelelahan,penurunan berat badan,batuk,demam tinggi,sesak napas,berkeringat,kehilangan nafsu makan,demam ringan,mata menguning,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,nyeri dada,darah di dahak,,
Tuberkulosis,kedinginan,kelelahan,penurunan berat badan,batuk,demam tinggi,sesak napas,berkeringat,kehilangan nafsu makan,demam ringan,mata menguning,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,nyeri dada,darah di dahak,,
Tuberkulosis,kedinginan,muntah,penurunan berat badan,batuk,demam tinggi,sesak napas,berkeringat,kehilangan nafsu makan,demam ringan,mata menguning,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,nyeri dada,darah di dahak,,
Tuberkulosis,kedinginan,muntah,kelelahan,batuk,demam tinggi,sesak napas,berkeringat,kehilangan nafsu makan,demam ringan,mata menguning,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,nyeri dada,darah di dahak,,
Tuberkulosis,kedinginan,muntah,kelelahan,penurunan berat badan,demam tinggi,sesak napas,berkeringat,kehilangan nafsu makan,demam ringan,mata menguning,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,nyeri dada,darah di dahak,,
Tuberkulosis,kedinginan,muntah,kelelahan,penurunan berat badan,batuk,sesak napas,berkeringat,kehilangan nafsu makan,demam ringan,mata menguning,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,nyeri dada,darah di dahak,,
Tuberkulosis,kedinginan,muntah,kelelahan,penurunan berat badan,batuk,demam tinggi,berkeringat,kehilangan nafsu makan,demam ringan,mata menguning,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,nyeri dada,darah di dahak,,
Tuberkulosis,kedinginan,muntah,kelelahan,penurunan berat badan,batuk,demam tinggi,sesak napas,kehilangan nafsu makan,demam ringan,mata menguning,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,nyeri dada,darah di dahak,,
Flu biasa,bersin terus-menerus,kedinginan,kelelahan,batuk,demam tinggi,sakit kepala,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,iritasi tenggorokan,mata memerah,tekanan sinus,hidung meler,hidung tersumbat,nyeri dada,kehilangan penciuman,nyeri otot
Flu biasa,kedinginan,kelelahan,batuk,demam tinggi,sakit kepala,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,iritasi tenggorokan,mata memerah,tekanan sinus,hidung meler,hidung tersumbat,nyeri dada,kehilangan penciuman,nyeri otot,
Flu biasa,bersin terus-menerus,kelelahan,batuk,demam tinggi,sakit kepala,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,iritasi tenggorokan,mata memerah,tekanan sinus,hidung meler,hidung tersumbat,nyeri dada,kehilangan penciuman,nyeri otot,
Flu biasa,bersin terus-menerus,kedinginan,batuk,demam tinggi,sakit kepala,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,iritasi tenggorokan,mata memerah,tekanan sinus,hidung meler,hidung tersumbat,nyeri dada,kehilangan penciuman,nyeri otot,
Flu biasa,bersin terus-menerus,kedinginan,kelelahan,demam tinggi,sakit kepala,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,iritasi tenggorokan,mata memerah,tekanan sinus,hidung meler,hidung tersumbat,nyeri dada,kehilangan penciuman,nyeri otot,
Flu biasa,bersin terus-menerus,kedinginan,kelelahan,batuk,sakit kepala,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,iritasi tenggorokan,mata memerah,tekanan sinus,hidung meler,hidung tersumbat,nyeri dada,kehilangan penciuman,nyeri otot,
Flu biasa,bersin terus-menerus,kedinginan,kelelahan,batuk,demam tinggi,pembengkakan kelenjar getah bening,rasa tidak enak badan,dahak,iritasi tenggorokan,mata memerah,tekanan sinus,hidung meler,hidung tersumbat,nyeri dada,kehilangan penciuman,nyeri otot,
Flu biasa,bersin terus-menerus,kedinginan,kelelahan,batuk,demam tinggi,sakit kepala,rasa tidak enak badan,dahak,iritasi tenggorokan,mata memerah,tekanan sinus,hidung meler,hidung tersumbat,nyeri dada,kehilangan penciuman,nyeri otot,
Flu biasa,bersin terus-menerus,kedinginan,kelelahan,batuk,demam tinggi,sakit kepala,pembengkakan kelenjar getah bening,dahak,iritasi tenggorokan,mata memerah,tekanan sinus,hidung meler,hidung tersumbat,nyeri dada,kehilangan penciuman,nyeri otot,
Pneumonia,kedinginan,kelelahan,batuk,demam tinggi,sesak napas,berkeringat,rasa tidak enak badan,nyeri dada,detak jantung cepat,dahak berwarna karat,,,,,,,
Pneumonia,kedinginan,kelelahan,batuk,demam tinggi,sesak napas,berkeringat,rasa tidak enak badan,dahak,nyeri dada,detak jantung cepat,dahak berwarna karat,,,,,,
Pneumonia,kelelahan,batuk,demam tinggi,sesak napas,berkeringat,rasa tidak enak badan,dahak,nyeri dada,detak jantung cepat,dahak berwarna karat,,,,,,,
Pneumonia,kedinginan,batuk,demam tinggi,sesak napas,berkeringat,rasa tidak enak badan,dahak,nyeri dada,detak jantung cepat,dahak berwarna karat,,,,,,,
Pneumonia,kedinginan,kelelahan,demam tinggi,sesak napas,berkeringat,rasa tidak enak badan,dahak,nyeri dada,detak jantung cepat,dahak berwarna karat,,,,,,,
Pneumonia,kedinginan,kelelahan,batuk,sesak napas,berkeringat,rasa tidak enak badan,dahak,nyeri dada,detak jantung cepat,dahak berwarna karat,,,,,,,
Pneumonia,kedinginan,kelelahan,batuk,demam tinggi,berkeringat,rasa tidak enak badan,dahak,nyeri dada,detak jantung cepat,dahak berwarna karat,,,,,,,
Pneumonia,kedinginan,kelelahan,batuk,demam tinggi,sesak napas,rasa tidak enak badan,dahak,nyeri dada,detak jantung cepat,dahak berwarna karat,,,,,,,
Pneumonia,kedinginan,kelelahan,batuk,demam tinggi,sesak napas,berkeringat,dahak,nyeri dada,detak jantung cepat,dahak berwarna karat,,,,,,,
Wasir tipe dimorfik,sembelit,nyeri saat buang air besar,nyeri di anus,tinja berdarah,iritasi di anus,,,,,,,,,,,,
Wasir tipe dimorfik,nyeri saat buang air besar,nyeri di anus,tinja berdarah,iritasi di anus,,,,,,,,,,,,,
Wasir tipe dimorfik,sembelit,nyeri di anus,tinja berdarah,iritasi di anus,,,,,,,,,,,,,
Wasir tipe dimorfik,sembelit,nyeri saat buang air besar,tinja berdarah,iritasi di anus,,,,,,,,,,,,,
Wasir tipe dimorfik,sembelit,nyeri saat buang air besar,nyeri di anus,iritasi di anus,,,,,,,,,,,,,
Wasir tipe dimorfik,sembelit,nyeri saat buang air besar,nyeri di anus,tinja berdarah,,,,,,,,,,,,,
Serangan jantung,muntah,sesak napas,berkeringat,nyeri dada,,,,,,,,,,,,,
Serangan jantung,sesak napas,berkeringat,nyeri dada,,,,,,,,,,,,,,
Serangan jantung,muntah,berkeringat,nyeri dada,,,,,,,,,,,,,,
Serangan jantung,muntah,sesak napas,nyeri dada,,,,,,,,,,,,,,
Serangan jantung,muntah,sesak napas,berkeringat,,,,,,,,,,,,,,
Varises,kelelahan,kram,memar,obesitas,kaki bengkak,pembuluh darah bengkak,pembuluh darah menonjol di betis,,,,,,,,,,
Varises,kram,memar,obesitas,kaki bengkak,pembuluh darah bengkak,pembuluh darah menonjol di betis,,,,,,,,,,,
Varises,kelelahan,memar,obesitas,kaki bengkak,pembuluh darah bengkak,pembuluh darah menonjol di betis,,,,,,,,,,,
Varises,kelelahan,kram,obesitas,kaki bengkak,pembuluh darah bengkak,pembuluh darah menonjol di betis,,,,,,,,,,,
Varises,kelelahan,kram,memar,kaki bengkak,pembuluh darah bengkak,pembuluh darah menonjol di betis,,,,,,,,,,,
Varises,kelelahan,kram,memar,obesitas,pembuluh darah bengkak,pembuluh darah menonjol di betis,,,,,,,,,,,
Varises,kelelahan,kram,memar,obesitas,kaki bengkak,pembuluh darah menonjol di betis,,,,,,,,,,,
Varises,kelelahan,kram,memar,obesitas,kaki bengkak,pembuluh darah bengkak,,,,,,,,,,,
Hipotiroidisme,kelelahan,penambahan berat badan,tangan dan kaki dingin,perubahan suasana hati,lesu,pusing,wajah dan mata bengkak,kelenjar tiroid membesar,kuku rapuh,pembengkakan anggota tubuh,depresi,mudah marah,menstruasi tidak normal,,,,
Hipotiroidisme,penambahan berat badan,tangan dan kaki dingin,perubahan suasana hati,lesu,pusing,wajah dan mata bengkak,kelenjar tiroid membesar,kuku rapuh,pembengkakan anggota tubuh,depresi,mudah marah,menstruasi tidak normal,,,,,
Hipotiroidisme,kelelahan,tangan dan kaki dingin,perubahan suasana hati,lesu,pusing,wajah dan mata bengkak,kelenjar tiroid membesar,kuku rapuh,pembengkakan anggota tubuh,depresi,mudah marah,menstruasi tidak normal,,,,,
Hipotiroidisme,kelelahan,penambahan berat badan,perubahan suasana hati,lesu,pusing,wajah dan mata bengkak,kelenjar tiroid membesar,kuku rapuh,pembengkakan anggota tubuh,depresi,mudah marah,menstruasi tidak normal,,,,,
Hipotiroidisme,kelelahan,penambahan berat badan,tangan dan kaki dingin,lesu,pusing,wajah dan mata bengkak,kelenjar tiroid membesar,kuku rapuh,pembengkakan anggota tubuh,depresi,mudah marah,menstruasi tidak normal,,,,,
Hipotiroidisme,kelelahan,penambahan berat badan,tangan dan kaki dingin,perubahan suasana hati,pusing,wajah dan mata bengkak,kelenjar tiroid membesar,kuku rapuh,pembengkakan anggota tubuh,depresi,mudah marah,menstruasi tidak normal,,,,,
Hipotiroidisme,kelelahan,penambahan berat badan,tangan dan kaki dingin,perubahan suasana hati,lesu,wajah dan mata bengkak,kelenjar tiroid membesar,kuku rapuh,pembengkakan anggota tubuh,depresi,mudah marah,menstruasi tidak normal,,,,,
Hipotiroidisme,kelelahan,penambahan berat badan,tangan dan kaki dingin,perubahan suasana hati,lesu,pusing,kelenjar tiroid membesar,kuku rapuh,pembengkakan anggota tubuh,depresi,mudah marah,menstruasi tidak normal,,,,,
Hipertiroidisme,kelelahan,perubahan suasana hati,penurunan berat badan,gelisah,berkeringat,diare,detak jantung cepat,lapar berlebihan,kelemahan otot,mudah marah,menstruasi tidak normal,,,,,,
Hipertiroidisme,perubahan suasana hati,penurunan berat badan,gelisah,berkeringat,diare,detak jantung cepat,lapar berlebihan,kelemahan otot,mudah marah,menstruasi tidak normal,,,,,,,
Hipertiroidisme,kelelahan,penurunan berat badan,gelisah,berkeringat,diare,detak jantung cepat,lapar berlebihan,kelemahan otot,mudah marah,menstruasi tidak normal,,,,,,,
Hipertiroidisme,kelelahan,perubahan suasana hati,gelisah,berkeringat,diare,detak jantung cepat,lapar berlebihan,kelemahan otot,mudah marah,menstruasi tidak normal,,,,,,,
Hipertiroidisme,kelelahan,perubahan suasana hati,penurunan berat badan,berkeringat,diare,detak jantung cepat,lapar berlebihan,kelemahan otot,mudah marah,menstruasi tidak normal,,,,,,,
Hipertiroidisme,kelelahan,perubahan suasana hati,penurunan berat badan,gelisah,diare,detak jantung cepat,lapar berlebihan,kelemahan otot,mudah marah,menstruasi tidak normal,,,,,,,
Hipertiroidisme,kelelahan,perubahan suasana hati,penurunan berat badan,gelisah,berkeringat,detak jantung cepat,lapar berlebihan,kelemahan otot,mudah marah,menstruasi tidak normal,,,,,,,
Hipertiroidisme,kelelahan,perubahan suasana hati,penurunan berat badan,gelisah,berkeringat,diare,lapar berlebihan,kelemahan otot,mudah marah,menstruasi tidak normal,,,,,,,
Hipertiroidisme,kelelahan,perubahan suasana hati,penurunan berat badan,gelisah,berkeringat,diare,detak jantung cepat,kelemahan otot,mudah marah,menstruasi tidak normal,,,,,,,
Hipoglikemia,muntah,kelelahan,kecemasan,berkeringat,sakit kepala,mual,penglihatan kabur dan terganggu,lapar berlebihan,bicara pelo,mudah marah,jantung berdebar,,,,,,
Hipoglikemia,muntah,kelelahan,kecemasan,berkeringat,sakit kepala,mual,penglihatan kabur dan terganggu,lapar berlebihan,bibir kering dan kesemutan,bicara pelo,mudah marah,jantung berdebar,,,,,
Hipoglikemia,kelelahan,kecemasan,berkeringat,sakit kepala,mual,penglihatan kabur dan terganggu,lapar berlebihan,bibir kering dan kesemutan,bicara pelo,mudah marah,jantung berdebar,,,,,,
Hipoglikemia,muntah,kecemasan,berkeringat,sakit kepala,mual,penglihatan kabur dan terganggu,lapar berlebihan,bibir kering dan kesemutan,bicara pelo,mudah marah,jantung berdebar,,,,,,
Hipoglikemia,muntah,kelelahan,berkeringat,sakit kepala,mual,penglihatan kabur dan terganggu,lapar berlebihan,bibir kering dan kesemutan,bicara pelo,mudah marah,jantung berdebar,,,,,,
Hipoglikemia,muntah,kelelahan,kecemasan,sakit kepala,mual,penglihatan kabur dan terganggu,lapar berlebihan,bibir kering dan kesemutan,bicara pelo,mudah marah,jantung berdebar,,,,,,
Hipoglikemia,muntah,kelelahan,kecemasan,berkeringat,mual,penglihatan kabur dan terganggu,lapar berlebihan,bibir kering dan kesemutan,bicara pelo,mudah marah,jantung berdebar,,,,,,
Hipoglikemia,muntah,kelelahan,kecemasan,berkeringat,sakit kepala,penglihatan kabur dan terganggu,lapar berlebihan,bibir kering dan kesemutan,bicara pelo,mudah marah,jantung berdebar,,,,,,
Hipoglikemia,muntah,kelelahan,kecemasan,berkeringat,sakit kepala,mual,lapar berlebihan,bibir kering dan kesemutan,bicara pelo,mudah marah,jantung berdebar,,,,,,
Osteoartritis,nyeri sendi,sakit leher,nyeri lutut,nyeri sendi panggul,pembengkakan sendi,nyeri saat berjalan,,,,,,,,,,,
Osteoartritis,sakit leher,nyeri lutut,nyeri sendi panggul,pembengkakan sendi,nyeri saat berjalan,,,,,,,,,,,,
Osteoartritis,nyeri sendi,nyeri lutut,nyeri sendi panggul,pembengkakan sendi,nyeri saat berjalan,,,,,,,,,,,,
Osteoartritis,nyeri sendi,sakit leher,nyeri sendi panggul,pembengkakan sendi,nyeri saat berjalan,,,,,,,,,,,,
Osteoartritis,nyeri sendi,sakit leher,nyeri lutut,pembengkakan sendi,nyeri saat berjalan,,,,,,,,,,,,
Osteoartritis,nyeri sendi,sakit leher,nyeri lutut,nyeri sendi panggul,nyeri saat berjalan,,,,,,,,,,,,
Osteoartritis,nyeri sendi,sakit leher,nyeri lutut,nyeri sendi panggul,pembengkakan sendi,,,,,,,,,,,,
Arthritis,kelemahan otot,leher kaku,pembengkakan sendi,kekakuan gerak,nyeri saat berjalan,,,,,,,,,,,,
Arthritis,leher kaku,pembengkakan sendi,kekakuan gerak,nyeri saat berjalan,,,,,,,,,,,,,
Arthritis,kelemahan otot,pembengkakan sendi,kekakuan gerak,nyeri saat berjalan,,,,,,,,,,,,,
Arthritis,kelemahan otot,leher kaku,kekakuan gerak,nyeri saat berjalan,,,,,,,,,,,,,
Arthritis,kelemahan otot,leher kaku,pembengkakan sendi,nyeri saat berjalan,,,,,,,,,,,,,
Arthritis,kelemahan otot,leher kaku,pembengkakan sendi,kekakuan gerak,,,,,,,,,,,,,
Vertigo posisi paroksismal,muntah,sakit kepala,mual,gerakan berputar,kehilangan keseimbangan,ketidakstabilan,,,,,,,,,,,
Vertigo posisi paroksismal,sakit kepala,mual,gerakan berputar,kehilangan keseimbangan,ketidakstabilan,,,,,,,,,,,,
Vertigo posisi paroksismal,muntah,mual,gerakan berputar,kehilangan keseimbangan,ketidakstabilan,,,,,,,,,,,,
Vertigo posisi paroksismal,muntah,sakit kepala,gerakan berputar,kehilangan keseimbangan,ketidakstabilan,,,,,,,,,,,,
Vertigo posisi paroksismal,muntah,sakit kepala,mual,kehilangan keseimbangan,ketidakstabilan,,,,,,,,,,,,
Vertigo posisi paroksismal,muntah,sakit kepala,mual,gerakan berputar,ketidakstabilan,,,,,,,,,,,,
Vertigo posisi paroksismal,muntah,sakit kepala,mual,gerakan berputar,kehilangan keseimbangan,,,,,,,,,,,,
Jerawat,ruam kulit,jerawat berisi nanah,komedo,kerak di kulit kepala,,,,,,,,,,,,,
Jerawat,jerawat berisi nanah,komedo,kerak di kulit kepala,,,,,,,,,,,,,,
Jerawat,ruam kulit,komedo,kerak di kulit kepala,,,,,,,,,,,,,,
Jerawat,ruam kulit,jerawat berisi nanah,kerak di kulit kepala,,,,,,,,,,,,,,
Jerawat,ruam kulit,jerawat berisi nanah,komedo,,,,,,,,,,,,,,
Infeksi saluran kemih,nyeri saat buang air kecil,ketidaknyamanan kandung kemih,bau tidak sedap pada urin,rasa terus ingin buang air kecil,,,,,,,,,,,,,
Infeksi saluran kemih,ketidaknyamanan kandung kemih,bau tidak sedap pada urin,rasa terus ingin buang air kecil,,,,,,,,,,,,,,
Infeksi saluran kemih,nyeri saat buang air kecil,bau tidak sedap pada urin,rasa terus ingin buang air kecil,,,,,,,,,,,,,,
Infeksi saluran kemih,nyeri saat buang air kecil,ketidaknyamanan kandung kemih,rasa terus ingin buang air kecil,,,,,,,,,,,,,,
Infeksi saluran kemih,nyeri saat buang air kecil,ketidaknyamanan kandung kemih,bau tidak sedap pada urin,,,,,,,,,,,,,,
Psoriasis,ruam kulit,nyeri sendi,kulit mengelupas,serbuk seperti perak di kulit,cekungan kecil di kuku,kuku meradang,,,,,,,,,,,
Psoriasis,nyeri sendi,kulit mengelupas,serbuk seperti perak di kulit,cekungan kecil di kuku,kuku meradang,,,,,,,,,,,,
Psoriasis,ruam kulit,kulit mengelupas,serbuk seperti perak di kulit,cekungan kecil di kuku,kuku meradang,,,,,,,,,,,,
Psoriasis,ruam kulit,nyeri sendi,serbuk seperti perak di kulit,cekungan kecil di kuku,kuku meradang,,,,,,,,,,,,
Psoriasis,ruam kulit,nyeri sendi,kulit mengelupas,cekungan kecil di kuku,kuku meradang,,,,,,,,,,,,
Psoriasis,ruam kulit,nyeri sendi,kulit mengelupas,serbuk seperti perak di kulit,kuku meradang,,,,,,,,,,,,
Psoriasis,ruam kulit,nyeri sendi,kulit mengelupas,serbuk seperti perak di kulit,cekungan kecil di kuku,,,,,,,,,,,,
Impetigo,ruam kulit,demam tinggi,lepuhan,luka merah di sekitar hidung,lendir kerak kuning,,,,,,,,,,,,
Impetigo,demam tinggi,lepuhan,luka merah di sekitar hidung,lendir kerak kuning,,,,,,,,,,,,,
Impetigo,ruam kulit,lepuhan,luka merah di sekitar hidung,lendir kerak kuning,,,,,,,,,,,,,
Impetigo,ruam kulit,demam tinggi,luka merah di sekitar hidung,lendir kerak kuning,,,,,,,,,,,,,
Impetigo,ruam kulit,demam tinggi,lepuhan,lendir kerak kuning,,,,,,,,,,,,,
Impetigo,ruam kulit,demam tinggi,lepuhan,luka merah di sekitar hidung,,,,,,,,,,,,,
